code,state,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,Alabama,11070,11537,11587,10209,9556,9607,9407,9607,9398,8782,8464,8583,8809,8727,8093,8022,7459,6845,6473,6388,6488,6675,7458,7467,7172,7584,7303,7060,7587,7662,6965,6507,6020,4963,5481,5707,5806,5431,4633
AK,Alaska,679,680,659,538,858,1082,1189,1123,1026,1082,986,959,1008,1087,1200,1218,1221,1186,1238,1382,1516,1463,1565,1740,2091,2027,2036,2157,2289,2540,2703,2579,2539,2615,2649,2627,2707,2774,2762
AZ,Arizona,10524,10237,10216,10265,11204,11251,11339,11644,12132,12245,11966,11887,11935,12195,12300,11900,10887,10014,9878,8517,7916,8606,8993,9802,11377,12245,9148,9378,9964,10444,10850,10912,10179,9469,9995,11055,11119,10287,10775
AR,Arkansas,3510,3268,3238,3432,2998,2917,2967,2890,2751,2697,2830,2776,2896,2682,2689,2707,2769,2754,2655,2509,2367,2330,2353,2530,2602,2518,2295,2423,2427,2443,2461,2574,2332,2152,2221,2203,2166,2151,2231
CA,California,10090,11656,11020,11312,11450,11823,11673,11642,11010,10317,9975,10123,9497,9529,9335,9169,9327,9485,9483,8984,8489,8440,8509,8815,8844,8024,6627,6325,6384,6515,6597,6686,6809,6499,6904,7029,7099,6979,7019
CO,Colorado,7004,8042,7234,6633,5653,5565,5731,5725,5249,4842,4945,4947,4859,4579,4848,5063,5434,4837,4788,4901,4867,4924,5292,5251,5489,5417,5049,4886,5199,5626,5261,4978,4806,4332,4214,4288,4356,4157,4061
CT,Connecticut,776,819,931,932,925,948,1031,928,793,742,672,712,751,759,742,803,831,818,807,789,778,804,814,838,813,759,688,600,609,602,603,607,588,633,682,625,617,603,593
DE,Delaware,57,55,57,54,61,66,75,119,114,120,116,112,92,105,102,113,106,103,104,102,87,87,89,96,84,79,72,70,75,75,71,75,65,68,74,77,76,60,67
FL,Florida,7979,8659,8824,8683,8261,8438,8634,8203,7430,7058,6424,6479,6687,6744,6499,6377,6449,6137,5801,5777,6025,6107,6160,6054,5574,5069,4318,3948,3715,3694,3713,3765,3899,3969,4163,4250,4240,4275,4178
GA,Georgia,6989,7593,7604,7693,7913,8136,8109,7867,7494,7302,7009,7225,7040,6827,6804,6689,6815,6666,6454,6109,6056,6070,5844,5884,5715,5343,4709,4648,4275,4289,4360,4561,4537,4375,4505,4567,4659,4607,4636
