State,County,Number of Employees
Alabama,Autauga,14
Alabama,Barbour,73
Alabama,Bibb,9
Alabama,Blount,79
Alabama,Calhoun,89
Alabama,Chilton,28
Alabama,Clarke,29
Alabama,Coffee,2
Alabama,Colbert,53
Alabama,Conecuh,16
Alabama,Coosa,14
Alabama,Cullman,93
Alabama,Dale,8
Alabama,Dallas,68
Alabama,De Kalb,28
Alabama,Elmore,32
Alabama,Escambia,52
Alabama,Etowah,21
Alabama,Fayette,244
Alabama,Franklin,40
Alabama,Geneva,3
Alabama,Greene,3
Alabama,Hale,11
Alabama,Henry,3
Alabama,Houston,3
Alabama,Jackson,36
Alabama,Jefferson,2260
Alabama,Lawrence,16
Alabama,Lee,31
Alabama,Lowndes,53
Alabama,Macon,39
Alabama,Madison,77
Alabama,Marengo,90
Alabama,Marion,95
Alabama,Marshall,25
Alabama,Mobile,112
Alabama,Monroe,1
Alabama,Montgomery,109
Alabama,Morgan,54
Alabama,Pickens,5
Alabama,Russell,46
Alabama,Shelby,629
Alabama,St Clair,221
Alabama,Sumter,67
Alabama,Talladega,470
Alabama,Tallapoosa,0
Alabama,Tuscaloosa,2317
Alabama,Walker,1684
Alabama,Washington,9
Alabama,Winston,146
Alaska,2001,3
Alaska,2002,16
Alaska,2005,150
Alaska,2006,186
Alaska,2007,4
Alaska,2009,15
Alaska,2010,6
Alaska,2011,0
Alaska,2012,243
Alaska,2014,290
Alaska,Aleutians East,169
Arizona,Apache,21
Arizona,Cochise,161
Arizona,Coconino,189
Arizona,Gila,1158
Arizona,Graham,26
Arizona,Greenlee,1492
Arizona,La Paz,68
Arizona,Maricopa,737
Arizona,Mohave,226
Arizona,Navajo,983
Arizona,Pima,1599
Arizona,Pinal,3395
Arizona,Santa Cruz,22
Arizona,Yavapai,1125
Arizona,Yuma,49
Arkansas,Ashley,3
Arkansas,Baxter,30
Arkansas,Benton,28
Arkansas,Boone,24
Arkansas,Bradley,13
Arkansas,Calhoun,26
Arkansas,Carroll,7
Arkansas,Clark,19
Arkansas,Clay,4
Arkansas,Cleburne,14
Arkansas,Craighead,24
Arkansas,Crawford,34
Arkansas,Crittenden,31
Arkansas,Cross,2
Arkansas,Dallas,4
Arkansas,Desha,19
Arkansas,Faulkner,11
Arkansas,Franklin,10
Arkansas,Fulton,3
Arkansas,Garland,253
Arkansas,Grant,19
