State,County,Number of Mines
Alabama,Autauga,2
Alabama,Baldwin,3
Alabama,Barbour,4
Alabama,Bibb,2
Alabama,Blount,5
Alabama,Calhoun,3
Alabama,Chilton,3
Alabama,Clarke,6
Alabama,Cleburne,1
Alabama,Coffee,1
Alabama,Colbert,4
Alabama,Conecuh,2
Alabama,Coosa,1
Alabama,Covington,1
Alabama,Cullman,2
Alabama,Dale,1
Alabama,Dallas,5
Alabama,De Kalb,1
Alabama,Elmore,3
Alabama,Escambia,7
Alabama,Etowah,2
Alabama,Fayette,6
Alabama,Franklin,6
Alabama,Geneva,1
Alabama,Greene,1
Alabama,Hale,1
Alabama,Houston,1
Alabama,Jackson,3
Alabama,Jefferson,23
Alabama,Lawrence,2
Alabama,Lee,2
Alabama,Lowndes,2
Alabama,Macon,3
Alabama,Madison,4
Alabama,Marengo,1
Alabama,Marion,6
Alabama,Marshall,5
Alabama,Mobile,11
Alabama,Monroe,3
Alabama,Montgomery,8
Alabama,Morgan,4
Alabama,Pickens,1
Alabama,Russell,4
Alabama,Shelby,18
Alabama,St Clair,5
Alabama,Sumter,2
Alabama,Talladega,8
Alabama,Tuscaloosa,11
Alabama,Walker,37
Alabama,Washington,1
Alabama,Winston,2
Alaska,Aleutians West,1
Alaska,Anchorage,7
Alaska,Bethel,1
Alaska,Fairbanks North Star,17
Alaska,Juneau,7
Alaska,Kenai Peninsula,2
Alaska,Ketchikan Gateway,1
Alaska,Matanuska-Susitna,12
Alaska,Nome,3
Alaska,Northwest Arctic,4
Alaska,Prince of Wales-Outer Ketchikan,1
Alaska,Sitka,2
Alaska,Southeast Fairbanks,1
Alaska,Valdez-Cordova,1
Alaska,Yukon-Koyukuk,14
Arizona,Apache,4
Arizona,Cochise,14
Arizona,Coconino,35
Arizona,Gila,13
Arizona,Graham,5
Arizona,Greenlee,4
Arizona,La Paz,3
Arizona,Maricopa,60
Arizona,Mohave,29
Arizona,Navajo,16
Arizona,Pima,40
Arizona,Pinal,48
Arizona,Santa Cruz,4
Arizona,Yavapai,29
Arizona,Yuma,12
Arkansas,Baxter,4
Arkansas,Benton,7
Arkansas,Boone,4
Arkansas,Bradley,1
Arkansas,Calhoun,2
Arkansas,Carroll,2
Arkansas,Clark,2
Arkansas,Cleburne,2
Arkansas,Conway,1
Arkansas,Craighead,3
Arkansas,Crawford,2
Arkansas,Crittenden,1
Arkansas,Cross,1
Arkansas,Desha,1
Arkansas,Faulkner,3
Arkansas,Franklin,5
Arkansas,Garland,12
Arkansas,Grant,3
Arkansas,Greene,4
Arkansas,Hempstead,1
Arkansas,Hot Spring,7
Arkansas,Howard,2
Arkansas,Independence,8
Arkansas,Izard,5
Arkansas,Jackson,1
Arkansas,Jefferson,1
Arkansas,Johnson,4
Arkansas,Lawrence,3
Arkansas,Lincoln,1
Arkansas,Little River,2
Arkansas,Logan,3
Arkansas,Marion,2
Arkansas,Miller,1
Arkansas,Montgomery,7
Arkansas,Ouachita,3
Arkansas,Perry,1
Arkansas,Pike,7
Arkansas,Poinsett,4
Arkansas,Polk,1
Arkansas,Pope,4
Arkansas,Pulaski,13
Arkansas,Saline,7
Arkansas,Scott,1
Arkansas,Sebastian,10
Arkansas,Sevier,2
Arkansas,Sharp,1
Arkansas,St Francis,2
Arkansas,Stone,2
Arkansas,Van Buren,3
Arkansas,Washington,4
Arkansas,White,2
California,Alameda,8
California,Amador,12
California,Butte,5
California,Calaveras,6
California,Colusa,2
California,Contra Costa,7
California,Del Norte,3
California,El Dorado,4
California,Fresno,8
California,Glenn,6
California,Humboldt,14
California,Imperial,16
California,Inyo,16
California,Kern,30
California,Lake,10
California,Lassen,2
California,Los Angeles,32
California,Madera,3
California,Marin,1
California,Mariposa,3
California,Mendocino,13
California,Merced,5
California,Modoc,2
California,Mono,6
California,Monterey,10
California,Napa,2
California,Nevada,11
California,Orange,7
California,Placer,6
California,Plumas,4
California,Riverside,42
California,Sacramento,10
California,San Benito,8
California,San Bernardino,52
California,San Diego,31
California,San Francisco,2
California,San Joaquin,10
California,San Luis Obispo,8
California,San Mateo,3
California,Santa Barbara,11
California,Santa Clara,8
California,Santa Cruz,7
California,Shasta,15
California,Sierra,6
California,Siskiyou,11
California,Solano,3
California,Sonoma,17
California,Stanislaus,5
California,Sutter,3
California,Tehama,8
California,Trinity,3
California,Tulare,8
California,Tuolumne,4
California,Ventura,10
California,Yolo,5
California,Yuba,9
Colorado,Adams,14
Colorado,Alamosa,10
Colorado,Arapahoe,7
Colorado,Archuleta,7
Colorado,Baca,4
Colorado,Boulder,8
Colorado,Chaffee,6
Colorado,Cheyenne,1
Colorado,Clear Creek,3
Colorado,Costilla,1
Colorado,Delta,10
Colorado,Denver,2
Colorado,Dolores,1
Colorado,Douglas,2
Colorado,Eagle,5
Colorado,El Paso,10
Colorado,Elbert,1
Colorado,Fremont,16
Colorado,Garfield,14
Colorado,Grand,5
Colorado,Gunnison,6
Colorado,Hinsdale,1
Colorado,Huerfano,2
Colorado,Jackson,1
Colorado,Jefferson,15
Colorado,Kit Carson,2
Colorado,La Plata,10
Colorado,Lake,7
Colorado,Larimer,40
Colorado,Las Animas,5
Colorado,Lincoln,1
Colorado,Logan,2
Colorado,Mesa,14
Colorado,Moffat,10
Colorado,Montezuma,9
Colorado,Montrose,10
Colorado,Morgan,4
Colorado,Otero,2
Colorado,Ouray,4
Colorado,Park,6
Colorado,Phillips,1
Colorado,Prowers,10
Colorado,Pueblo,13
Colorado,Rio Blanco,2
Colorado,Rio Grande,3
Colorado,Routt,7
Colorado,San Miguel,3
Colorado,Sedgwick,1
Colorado,Summit,2
Colorado,Teller,5
Colorado,Weld,21
Connecticut,Fairfield,7
Connecticut,Hartford,14
Connecticut,Litchfield,13
Connecticut,Middlesex,3
Connecticut,New Haven,18
Connecticut,New London,10
Connecticut,Tolland,10
Connecticut,Windham,16
Delaware,Kent,3
Delaware,New Castle,2
Delaware,Sussex,2
Florida,Alachua,3
Florida,Brevard,3
Florida,Broward,3
Florida,Calhoun,1
Florida,Charlotte,9
Florida,Citrus,5
Florida,Clay,3
Florida,Collier,6
Florida,Columbia,2
Florida,Dade,19
Florida,De Soto,4
Florida,Dixie,1
Florida,Escambia,8
Florida,Gadsden,7
Florida,Gilchrist,1
Florida,Glades,4
Florida,Hamilton,2
Florida,Hardee,1
Florida,Hernando,6
Florida,Hillsborough,9
Florida,Indian River,3
Florida,Jackson,5
Florida,Lafayette,4
Florida,Lake,9
Florida,Lee,4
Florida,Leon,1
Florida,Levy,4
Florida,Manatee,4
Florida,Marion,14
Florida,Martin,1
Florida,Monroe,1
Florida,Okaloosa,1
Florida,Okeechobee,1
Florida,Orange,2
Florida,Palm Beach,9
Florida,Pasco,2
Florida,Polk,23
Florida,Putnam,4
Florida,Santa Rosa,2
Florida,Sarasota,4
Florida,Seminole,1
Florida,St Lucie,5
Florida,Sumter,5
Florida,Suwannee,5
Florida,Taylor,3
Florida,Walton,3
Florida,Washington,4
Georgia,Baldwin,2
Georgia,Banks,1
Georgia,Barrow,1
Georgia,Bartow,5
Georgia,Berrien,1
Georgia,Bibb,3
Georgia,Carroll,2
Georgia,Catoosa,1
Georgia,Chatham,1
Georgia,Cherokee,2
Georgia,Clarke,1
Georgia,Clay,1
Georgia,Clayton,2
Georgia,Cobb,1
Georgia,Columbia,2
Georgia,Cook,1
Georgia,Coweta,1
Georgia,Crawford,1
Georgia,De Kalb,8
Georgia,Decatur,5
Georgia,Dougherty,1
Georgia,Douglas,5
Georgia,Echols,1
Georgia,Effingham,4
Georgia,Elbert,13
Georgia,Evans,1
Georgia,Fayette,2
Georgia,Floyd,4
Georgia,Forsyth,3
Georgia,Fulton,8
Georgia,Gilmer,4
Georgia,Glascock,1
Georgia,Grady,1
Georgia,Greene,4
Georgia,Gwinnett,3
Georgia,Habersham,1
Georgia,Hall,3
Georgia,Hancock,1
Georgia,Harris,1
Georgia,Hart,1
Georgia,Heard,1
Georgia,Henry,1
Georgia,Houston,1
Georgia,Jackson,4
Georgia,Jasper,1
Georgia,Jefferson,4
Georgia,Jones,2
Georgia,Lee,2
Georgia,Long,2
Georgia,Lumpkin,3
Georgia,Macon,2
Georgia,Madison,2
Georgia,Marion,1
Georgia,McIntosh,1
Georgia,Monroe,3
Georgia,Montgomery,1
Georgia,Murray,3
Georgia,Muscogee,1
Georgia,Newton,2
Georgia,Oglethorpe,26
Georgia,Paulding,1
Georgia,Pickens,9
Georgia,Polk,2
Georgia,Rabun,1
Georgia,Richmond,6
Georgia,Rockdale,1
Georgia,Spalding,1
Georgia,Stephens,1
Georgia,Sumter,2
Georgia,Talbot,2
Georgia,Taylor,2
Georgia,Thomas,3
Georgia,Towns,2
Georgia,Troup,1
Georgia,Twiggs,5
Georgia,Union,1
Georgia,Walker,2
Georgia,Warren,4
Georgia,Washington,8
Georgia,White,1
Georgia,Whitfield,4
Georgia,Wilkes,2
Georgia,Wilkinson,11
Hawaii,Hawaii,17
Hawaii,Honolulu,9
Hawaii,Kauai,4
Hawaii,Maui,5
Idaho,Ada,20
Idaho,Bannock,7
Idaho,Bear Lake,2
Idaho,Benewah,3
Idaho,Bingham,5
Idaho,Blaine,5
Idaho,Bonner,6
Idaho,Bonneville,13
Idaho,Boundary,2
Idaho,Butte,1
Idaho,Canyon,11
Idaho,Caribou,9
Idaho,Cassia,7
Idaho,Clark,1
Idaho,Custer,4
Idaho,Elmore,5
Idaho,Franklin,2
Idaho,Fremont,3
Idaho,Gem,3
Idaho,Idaho,8
Idaho,Kootenai,9
Idaho,Latah,2
Idaho,Lemhi,6
Idaho,Lewis,1
